Nombre recurso;LOID;ID;Página;Tipo;Enlace;Texto principal;Texto adicional
Desafío: La geosfera;CN_07_15_LM_Recurso380;132325;Ve más allá;Lista;;Identifica las capas de la geosfera;
Desafío: La geosfera;CN_07_15_LM_Recurso380;132325;Ve más allá;Lista;;Conoce la corteza terrestre;
Desafío: La geosfera;CN_07_15_LM_Recurso380;132325;Ve más allá;Lista;;Profundiza en los elementos geoquímicos de la corteza;
Desafío: La geosfera;CN_07_15_LM_Recurso380;132325;Ve más allá;Lista;;Competencias: análisis de los componentes internos de la Tierra;
Desafío: La geosfera;CN_07_15_LM_Recurso380;132325;Ve más allá;Lista;;Competencias: Viaje al centro de la Tierra;
Desafío: La geosfera;CN_07_15_LM_Recurso380;132325;Meta;Título;;¿Serás capaz de superar la última prueba?;
Desafío: Los reinos de moneras, protoctistas y hongos;CN_07_10_LM_Recurso280;130832;Escoge tu camino;Lista;;<em>Al inicio de la vida</em>;(Las características de las bacterias y las cianobacterias)
Desafío: Los reinos de moneras, protoctistas y hongos;CN_07_10_LM_Recurso280;130832;Escoge tu camino;Lista;;<em>Los protozoos, unos eucariotas solitarios</em>;(Las características de los protozoos)
Desafío: Los reinos de moneras, protoctistas y hongos;CN_07_10_LM_Recurso280;130832;Escoge tu camino;Lista;;<em>Las algas, los organismos verdes del mar</em>;(Las características de las algas)
Desafío: Los reinos de moneras, protoctistas y hongos;CN_07_10_LM_Recurso280;130832;Escoge tu camino;Lista;;<em>El reino de los hongos</em>;(Las características de los hongos)
Desafío: Los reinos de moneras, protoctistas y hongos;CN_07_10_LM_Recurso280;130832;Escoge tu camino;Lista;;<em>Los líquenes, la unión hace la fuerza</em>;(La unión de algas y hongos)
Desafío: Los reinos de moneras, protoctistas y hongos;CN_07_10_LM_Recurso280;130832;Escoge tu camino;Lista;;<em>Para bien y para mal</em>;(Los beneficios y perjuicios de las moneras, los protoctistas y los hongos)
Desafío: Los reinos de moneras, protoctistas y hongos;CN_07_10_LM_Recurso280;130832;Escoge tu camino;Enlace;https://www.dailymotion.com/video/x2s9vem;Los reinos Monera, Protista y Hongos;, video producido por Rosemary Copeland, de la colección dailymotion.
Desafío: Los reinos de moneras, protoctistas y hongos;CN_07_10_LM_Recurso280;130832;Escoge tu camino;Enlace;http://recursostic.educacion.es/ciencias/biosfera/web/alumno/1ESO/clasica/index.htm;Clasificación de los seres vivos;, unidad didáctica que forma parte del Proyecto Biosfera. Impulsado por el Ministerio de Educación, Cultura y Deporte.
