Nombre recurso;LOID;ID;Página;Tipo;Enlace;Texto principal;Texto adicional
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;Escoge tu camino;Lista;;La estructura más pequeña que respira ;(la respiración celular)
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;Escoge tu camino;Lista;;"Intercambios ligeros 
";(los movimientos respiratorios)
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;Escoge tu camino;Lista;;Equilibrados por dentro ;(las infecciones respiratorias)
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;Escoge tu camino;Lista;;Aire puro ;(la calidad del aire y la salud)
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;Escoge tu camino;Enlace;https://www.visiblebody.com/es/learn/respiratory/5-functions-of-respiratory-system;Funciones principales del sistema respiratorio;, página de Visible Body con explicaciones y animaciones sobre los procesos básicos de respiración.
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;Escoge tu camino;Enlace;https://hnncbiol.blogspot.com/2008/01/respiracion-celular-clic-botn-derecho.html;La respiración celular;, información sobre la respiración celular y su proceso, del blog Ciencias biológicas y Educación para la salud.
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;Escoge tu camino;Enlace;https://kidshealth.org/es/parents/lungs.html;Los pulmones y el sistema respiratorio;, información sobre los pulmones y el funcionamiento del aparato respiratorio, de Kids Health.
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;Escoge tu camino;Inglés;https://kids.kiddle.co/Respiratory_system; Respiratory system facts for kids;, donde encontrarás información del proceso de respiración, en la enciclopedia Kiddle.
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;Ve más allá;Lista;;La respiración incontrolada;
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;Meta;Título;;<strong>Ahora que estás lleno de energía, ¿serás capaz de superar la última prueba?</strong>;
Desafío: El aparato digestivo y el aparato excretor;MN_3C_14_LM_Recurso270;132175;Escoge tu camino;Lista;;Pura energía ;(Los alimentos y los nutrientes)
Desafío: El aparato digestivo y el aparato excretor;MN_3C_14_LM_Recurso270;132175;Escoge tu camino;Lista;;En equilibrio ;(La pirámide alimentaria)
Desafío: El aparato digestivo y el aparato excretor;MN_3C_14_LM_Recurso270;132175;Escoge tu camino;Lista;;Todo empieza en la boca;(El tubo digestivo)
Desafío: El aparato digestivo y el aparato excretor;MN_3C_14_LM_Recurso270;132175;Escoge tu camino;Lista;;Un largo viaje;(El proceso digestivo)
Desafío: El aparato digestivo y el aparato excretor;MN_3C_14_LM_Recurso270;132175;Escoge tu camino;Lista;;Cargando pilas;(La distribución de los nutrientes por el cuerpo)
Desafío: El aparato digestivo y el aparato excretor;MN_3C_14_LM_Recurso270;132175;Escoge tu camino;Lista;;Afuera lo malo ;(El aparato excretor)
Desafío: El aparato digestivo y el aparato excretor;MN_3C_14_LM_Recurso270;132175;Escoge tu camino;Enlace;https://es.khanacademy.org/science/high-school-biology/hs-human-body-systems/hs-the-digestive-and-excretory-systems/a/hs-the-digestive-and-excretory-systems-review;Los sistemas digestivo y excretor;, repaso y términos clave en el sitio de Khan Academy.
Desafío: El aparato digestivo y el aparato excretor;MN_3C_14_LM_Recurso270;132175;Escoge tu camino;Enlace;https://intef.es/aprendemos_capitulos/58-la-digestion/;La digestión;, recurso didáctico sobre el proceso de la digestión, del proyecto cide@d, Ministerio de Educación, Cultura y Deporte.
